label src dest weight bw delay
Link_0 0 15 8840 50000 1
Link_1 1 2 8840 50000 1
Link_2 1 6 8840 50000 1
Link_3 1 15 8840 50000 1
Link_5 2 3 8840 50000 1
Link_6 2 6 8840 50000 1
Link_7 2 8 8840 50000 1
Link_8 2 17 8840 50000 1
Link_9 2 18 8840 50000 1
Link_10 2 19 8840 50000 1
Link_12 4 13 8840 50000 1
Link_13 4 6 8840 50000 1
Link_14 4 15 8840 50000 1
Link_15 5 7 8840 50000 1
Link_16 5 13 8840 50000 1
Link_17 5 6 8840 50000 1
Link_18 5 15 8840 50000 1
Link_23 6 7 8840 50000 1
Link_27 8 11 8840 50000 1
Link_28 8 15 8840 50000 1
Link_29 9 15 8840 50000 1
Link_30 10 11 8840 50000 1
Link_33 11 15 8840 50000 1
Link_34 12 13 8840 50000 1
Link_35 12 15 8840 50000 1
Link_39 13 14 8840 50000 1
Link_40 13 15 8840 50000 1
Link_41 13 16 8840 50000 1
Link_43 14 15 8840 50000 1
Link_54 15 16 8840 50000 1
Link_55 15 17 8840 50000 1
