label src dest weight bw delay
Link_0 0 6 30 10000 1
Link_1 0 7 30 10000 1
Link_2 1 6 30 10000 1
Link_3 1 7 30 10000 1
Link_4 2 8 30 10000 1
Link_5 2 9 30 10000 1
Link_6 3 8 30 10000 1
Link_7 3 9 30 10000 1
Link_8 4 10 30 10000 1
Link_9 4 11 30 10000 1
Link_10 5 10 30 10000 1
Link_11 5 11 30 10000 1
Link_12 6 12 30 10000 1
Link_13 6 13 30 10000 1
Link_14 7 14 30 10000 1
Link_15 7 15 30 10000 1
Link_16 8 12 30 10000 1
Link_17 8 13 30 10000 1
Link_18 9 14 30 10000 1
Link_19 9 15 30 10000 1
Link_20 10 12 30 10000 1
Link_21 10 13 30 10000 1
Link_22 11 14 30 10000 1
Link_23 11 15 30 10000 1
Link_24 0 16 30 10000 1
Link_25 1 17 30 10000 1
Link_26 2 18 30 10000 1
Link_27 5 19 30 10000 1
Link_28 2 3 30 10000 1
Link_29 4 5 30 10000 1
