label src dest weight bw delay
Link_0 0 8 30 10000 1
Link_1 0 9 30 10000 1
Link_2 1 8 30 10000 1
Link_3 1 9 30 10000 1
Link_4 2 10 30 10000 1
Link_5 2 11 30 10000 1
Link_6 3 10 30 10000 1
Link_7 3 11 30 10000 1
Link_8 4 12 30 10000 1
Link_9 4 13 30 10000 1
Link_10 5 12 30 10000 1
Link_11 5 13 30 10000 1
Link_12 6 14 30 10000 1
Link_13 6 15 30 10000 1
Link_14 7 14 30 10000 1
Link_15 7 15 30 10000 1
Link_16 10 16 30 10000 1
Link_17 10 17 30 10000 1
Link_18 11 18 30 10000 1
Link_19 11 19 30 10000 1
Link_20 12 16 30 10000 1
Link_21 12 17 30 10000 1
Link_22 13 18 30 10000 1
Link_23 13 19 30 10000 1
Link_24 14 16 30 10000 1
Link_25 14 17 30 10000 1
Link_26 15 18 30 10000 1
Link_27 15 19 30 10000 1
Link_28 8 16 30 10000 1
Link_29 8 17 30 10000 1
Link_30 9 18 30 10000 1
Link_31 9 19 30 10000 1
